City,Country,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed
Beijing,China,2023-04-16,51.2,141.85,64.38,30.13,5.5,139.1,23.25,14.34,3.24
Beijing,China,2023-04-27,52.26,78.48,46.55,21.89,8.8,43.35,14.35,11.69,13.68
Beijing,China,2023-03-12,25.47,119.94,89.39,29.63,9.45,82.73,30.56,80.72,7.67
Beijing,China,2023-01-10,69.06,163.99,79.7,49.96,9.12,182.58,1.49,79.91,19.59
Beijing,China,2023-08-17,56.1,129.53,44.49,34.53,9.94,193.86,-6.28,97.32,18.63
Beijing,China,2023-04-02,101.31,100.03,65.8,42.52,1.09,102.0,-6.62,71.8,14.39
Beijing,China,2023-07-15,144.6,160.93,85.28,39.72,1.3,67.23,11.68,19.56,18.5
Beijing,China,2023-09-22,48.58,16.85,6.41,24.37,2.27,40.67,11.19,69.74,8.06
Beijing,China,2023-07-01,33.35,84.76,54.07,45.06,8.28,109.44,5.82,71.18,2.56
Beijing,China,2023-11-25,90.27,12.79,62.49,11.58,5.95,157.19,2.54,23.99,18.5
Beijing,China,2023-10-19,11.52,166.64,71.55,46.17,8.52,85.33,4.42,60.21,4.95
Beijing,China,2023-07-27,128.36,117.51,69.97,33.75,6.09,150.65,13.77,71.8,9.55
Beijing,China,2023-12-16,51.06,87.21,24.73,14.95,7.55,56.22,39.63,22.59,19.18
Beijing,China,2023-08-16,132.32,64.93,42.33,4.6,4.03,156.0,-10.0,88.71,12.03
Beijing,China,2023-08-26,35.75,49.96,40.69,4.99,4.2,106.31,28.7,39.46,4.76
Beijing,China,2023-05-21,105.83,124.5,8.49,39.18,2.38,51.59,8.18,86.19,6.16
Beijing,China,2023-01-19,146.88,196.41,83.07,7.59,3.3,85.76,39.91,70.93,15.82
Beijing,China,2023-07-25,136.33,92.08,20.64,41.07,7.95,45.99,-2.0,72.79,9.08
Beijing,China,2023-04-14,45.25,190.1,68.91,15.03,6.38,11.47,8.39,75.31,14.18
Beijing,China,2023-05-15,77.68,82.45,61.54,29.25,1.22,112.74,29.56,51.28,5.67
Beijing,China,2023-12-07,76.58,39.46,89.13,6.0,8.17,34.03,23.46,90.95,10.28
Beijing,China,2023-08-11,49.91,41.84,55.59,46.03,1.35,163.42,12.82,77.01,1.43
Beijing,China,2023-08-20,58.17,20.94,23.15,49.32,9.36,47.12,7.14,75.25,16.77
Beijing,China,2023-03-03,9.42,137.98,81.49,28.05,8.06,102.83,15.92,75.41,19.59
Beijing,China,2023-12-26,90.44,141.97,10.3,45.61,5.66,85.76,6.77,73.28,15.72
Beijing,China,2023-08-23,122.36,131.91,98.58,19.17,5.42,162.99,33.5,67.91,13.99
Beijing,China,2023-09-28,51.38,13.19,58.99,25.83,1.46,12.66,-3.43,22.16,5.2
Beijing,China,2023-03-08,53.43,54.11,37.71,15.07,9.77,180.1,3.42,26.23,10.26
Beijing,China,2023-09-08,15.27,25.36,89.5,23.14,1.38,134.99,32.84,13.86,10.97
Beijing,China,2023-03-18,10.41,12.98,7.17,33.37,2.34,116.32,21.13,49.81,19.31
Beijing,China,2023-08-22,97.57,100.2,42.71,22.9,0.26,158.63,-3.53,30.06,10.43
Beijing,China,2023-07-03,35.72,37.78,45.05,36.88,8.73,147.98,-5.36,65.04,16.13
Beijing,China,2023-12-14,23.86,189.91,87.08,49.6,2.54,156.93,33.24,98.96,0.89
Beijing,China,2023-08-26,113.72,160.1,30.2,14.61,9.59,63.21,13.9,39.04,19.92
Beijing,China,2023-10-24,101.02,107.73,19.09,14.69,9.12,89.51,-3.06,68.72,16.13
Beijing,China,2023-09-19,17.73,74.03,6.4,42.43,8.7,159.02,4.19,82.24,15.54
Beijing,China,2023-01-11,56.6,68.85,90.68,37.15,3.88,121.73,26.82,76.21,18.42
Beijing,China,2023-07-02,62.23,13.33,88.16,38.33,6.77,98.59,5.48,72.14,2.84
Beijing,China,2023-03-28,48.67,109.97,72.73,24.15,0.96,107.57,2.21,63.77,18.28
Beijing,China,2023-12-21,100.89,45.92,60.86,4.05,5.98,109.43,28.85,38.18,14.08
Beijing,China,2023-01-08,79.49,49.59,6.12,23.97,8.07,54.09,38.07,11.35,14.97
Beijing,China,2023-02-23,140.36,184.74,99.97,37.85,1.19,91.89,7.42,68.42,5.01
Beijing,China,2023-03-03,56.82,131.3,24.75,14.63,5.18,19.93,12.11,98.32,2.19
Beijing,China,2023-10-08,122.86,136.52,33.91,32.74,4.87,192.65,-4.35,71.51,18.04
Beijing,China,2023-10-14,71.58,65.74,52.96,2.64,2.44,167.65,5.84,37.8,7.92
Beijing,China,2023-09-13,27.95,99.11,47.86,3.66,2.63,33.13,30.2,39.68,16.49
Beijing,China,2023-04-24,52.02,39.88,81.0,8.22,5.65,165.09,-1.08,30.2,6.91
Beijing,China,2023-10-27,97.46,151.99,46.55,38.96,9.13,135.95,2.21,80.84,9.47
Beijing,China,2023-05-20,62.0,193.05,64.47,42.39,6.32,72.04,33.96,52.06,1.12
Beijing,China,2023-04-11,23.4,105.04,90.57,12.16,4.67,131.92,36.89,37.89,8.2
Beijing,China,2023-12-06,50.59,26.6,76.05,8.02,7.34,10.91,17.74,65.94,2.57
Beijing,China,2023-06-06,142.98,48.68,5.39,49.91,2.24,127.71,21.26,25.2,3.75
Beijing,China,2023-05-06,122.72,180.74,72.51,25.36,1.23,185.56,11.44,51.68,10.35
Beijing,China,2023-04-10,109.26,25.86,50.04,9.32,4.95,50.73,30.47,33.98,15.05
Beijing,China,2023-05-28,42.41,153.83,57.86,36.52,0.41,137.79,19.64,39.0,19.92
Beijing,China,2023-08-23,9.65,197.37,81.24,1.11,7.42,104.51,6.01,96.92,9.04
Beijing,China,2023-08-24,130.77,163.17,70.46,14.58,6.55,33.95,6.25,20.04,15.58
Beijing,China,2023-04-19,147.31,177.78,92.02,29.18,8.09,20.84,7.45,21.36,17.46
Beijing,China,2023-03-19,127.1,182.87,89.4,33.58,8.83,72.22,-5.43,22.6,12.65
Beijing,China,2023-03-14,66.65,198.36,25.48,28.17,9.74,40.91,14.88,20.15,16.07
Beijing,China,2023-02-13,123.93,68.44,67.23,27.52,6.86,11.85,29.63,22.03,18.91
Beijing,China,2023-05-22,95.13,65.61,61.08,34.53,4.96,180.76,-1.9,32.0,13.58
Beijing,China,2023-04-14,50.77,100.31,45.28,8.82,1.42,43.99,28.1,95.55,6.04
Beijing,China,2023-12-01,134.31,141.18,23.44,5.35,6.26,171.56,31.45,21.44,12.6
Beijing,China,2023-11-22,101.11,185.64,59.23,12.58,4.88,67.0,22.56,39.09,5.49
Beijing,China,2023-12-21,143.2,41.87,91.1,47.45,2.88,67.87,-0.5,61.82,18.48
Beijing,China,2023-02-07,10.98,126.71,94.08,22.9,1.09,131.79,35.68,91.37,9.46
Beijing,China,2023-11-16,84.6,170.02,58.74,1.01,0.75,161.52,25.37,91.64,3.72
Beijing,China,2023-01-13,38.28,53.92,65.65,42.51,3.45,32.07,18.92,98.73,5.3
Beijing,China,2023-06-15,146.8,83.59,90.28,34.36,3.6,29.99,17.1,13.97,15.11
Beijing,China,2023-06-04,116.04,163.22,73.97,31.57,5.35,194.85,23.51,38.34,10.94
Beijing,China,2023-06-28,14.54,51.42,35.72,28.78,2.68,78.68,10.29,94.47,9.45
Beijing,China,2023-09-07,92.2,72.59,18.77,41.39,5.55,165.09,39.37,97.41,9.0
Beijing,China,2023-02-21,142.76,74.3,51.46,35.32,1.58,195.09,22.01,52.34,9.48
Beijing,China,2023-12-24,15.9,81.84,35.23,48.3,3.15,183.64,33.3,43.87,7.75
Beijing,China,2023-02-03,18.91,101.35,46.62,8.04,5.8,187.04,37.92,21.44,13.78
Beijing,China,2023-09-01,92.08,193.44,57.69,23.22,6.92,50.11,23.51,62.74,1.23
Beijing,China,2023-05-08,86.69,77.28,44.13,25.35,7.09,88.71,-2.48,22.79,18.87
Beijing,China,2023-09-14,69.64,33.86,97.31,46.85,4.43,129.88,-0.57,73.0,5.45
Beijing,China,2023-03-06,105.11,120.85,95.3,4.97,0.24,155.37,-2.66,10.96,16.52
Beijing,China,2023-11-13,81.24,191.39,11.02,11.43,3.99,144.15,31.96,70.92,8.31
Beijing,China,2023-04-06,31.42,158.23,53.24,32.87,9.37,105.01,28.19,93.3,12.11
Beijing,China,2023-04-18,63.91,47.28,35.6,28.2,5.01,85.8,-1.53,89.08,0.58
Beijing,China,2023-10-27,106.88,155.71,22.87,16.77,7.21,186.16,24.51,52.55,14.65
Beijing,China,2023-03-23,56.74,59.32,18.64,32.19,5.84,23.76,37.33,47.77,4.39
Beijing,China,2023-01-12,137.46,147.14,11.76,28.28,2.53,19.78,12.36,42.54,17.17
Beijing,China,2023-03-25,66.65,175.61,43.64,27.11,6.69,127.75,29.86,34.19,4.9
Beijing,China,2023-01-23,34.08,19.68,68.49,46.95,1.27,96.13,-6.72,28.72,13.69
Beijing,China,2023-04-20,51.89,113.13,40.71,15.28,0.69,112.07,15.76,18.03,16.68
Beijing,China,2023-02-27,28.11,60.02,18.79,32.83,1.58,61.78,20.55,79.25,2.01
Beijing,China,2023-11-08,37.4,157.77,94.04,25.89,7.9,84.85,-6.87,15.61,18.61
Beijing,China,2023-11-05,58.64,75.7,86.19,31.23,2.27,136.75,23.47,83.76,2.17
Beijing,China,2023-12-28,65.78,32.82,60.07,34.81,5.66,30.42,9.05,77.67,12.6
Beijing,China,2023-06-13,24.88,39.84,99.47,7.12,4.28,77.6,18.31,38.3,3.63
Beijing,China,2023-05-19,28.56,144.74,49.75,32.26,3.88,59.42,23.3,93.2,4.75
Beijing,China,2023-09-13,73.18,110.27,43.75,34.52,1.51,143.07,35.87,78.88,3.14
Beijing,China,2023-02-28,10.85,46.65,87.64,10.45,2.5,93.85,5.81,82.48,1.86
Beijing,China,2023-10-25,81.11,172.29,18.13,14.71,1.82,195.29,27.63,97.19,15.45
Beijing,China,2023-05-28,50.68,174.12,61.35,34.03,4.76,74.74,2.0,97.19,1.19
Beijing,China,2023-03-23,30.25,77.59,77.64,49.18,1.26,16.67,-7.21,81.74,5.59
Beijing,China,2023-04-25,22.42,162.88,56.73,41.11,0.6,100.02,30.4,11.0,10.46
Beijing,China,2023-03-08,25.41,38.28,42.26,45.04,8.97,88.92,8.09,72.05,15.48
Beijing,China,2023-05-09,38.78,133.62,76.35,19.55,1.52,86.7,38.15,70.37,5.83
Beijing,China,2023-02-16,7.36,91.06,36.64,40.17,2.17,143.78,30.23,16.94,2.11
Beijing,China,2023-06-03,24.88,137.3,13.09,13.04,7.87,69.35,22.15,94.63,19.19
Beijing,China,2023-08-24,23.86,131.22,44.72,35.84,8.78,49.28,34.88,38.91,5.1
Beijing,China,2023-02-23,131.7,158.42,8.74,37.89,1.31,115.14,-4.64,88.87,19.02
Beijing,China,2023-05-11,82.03,148.08,94.4,12.99,7.61,81.89,-3.29,27.94,1.92
Beijing,China,2023-02-14,13.87,34.68,58.46,3.87,3.42,117.7,2.15,29.78,19.34
Beijing,China,2023-11-12,78.78,17.9,63.83,4.51,1.68,189.82,28.98,54.54,15.63
Beijing,China,2023-11-05,79.04,63.25,87.21,13.19,9.41,117.83,-5.44,35.42,8.31
Beijing,China,2023-08-13,118.71,102.2,66.36,43.27,5.9,161.31,-4.98,39.87,1.12
Beijing,China,2023-07-12,12.43,140.18,87.78,25.22,3.12,174.63,14.16,81.2,9.12
Beijing,China,2023-03-19,137.29,93.8,97.1,27.0,7.25,173.73,35.98,64.27,17.49
Beijing,China,2023-04-11,48.85,119.37,53.17,38.21,8.19,101.09,-0.86,87.52,19.1
Beijing,China,2023-01-04,40.05,136.99,62.46,19.85,1.27,57.78,28.38,45.45,2.33
Beijing,China,2023-03-08,71.52,59.77,70.41,34.43,9.95,97.15,-6.58,48.13,0.7
Beijing,China,2023-06-14,132.89,75.99,71.92,36.82,4.08,16.62,27.88,19.27,5.39
Beijing,China,2023-07-13,25.79,183.52,69.9,49.66,0.69,80.1,38.81,23.3,19.11
Beijing,China,2023-02-22,83.75,113.97,29.54,18.04,8.98,189.83,25.91,68.78,1.81
Beijing,China,2023-04-26,126.37,89.57,32.15,20.69,5.21,170.26,-3.81,62.56,19.64
Beijing,China,2023-12-18,88.04,152.59,17.22,14.2,8.22,153.57,-1.49,37.01,12.47
Beijing,China,2023-12-14,107.55,162.86,51.71,21.17,8.9,142.55,15.78,35.48,0.76
Beijing,China,2023-09-24,52.52,121.2,37.12,36.81,3.08,90.37,-9.44,89.01,6.37
Beijing,China,2023-11-08,115.7,144.07,16.19,47.4,6.72,193.25,-7.59,35.67,14.08
Beijing,China,2023-09-24,149.53,176.61,70.94,36.73,3.69,152.05,13.48,29.15,18.15
Beijing,China,2023-01-25,56.0,112.68,16.86,15.62,3.04,25.86,19.42,57.41,10.12
Beijing,China,2023-09-13,52.85,16.38,87.36,10.63,0.79,176.98,14.08,37.61,19.88
Beijing,China,2023-07-17,40.41,37.19,34.25,22.33,7.67,160.11,6.64,50.01,10.04
Beijing,China,2023-03-04,114.42,55.37,26.31,26.59,9.62,91.94,27.87,47.33,15.63
Beijing,China,2023-07-13,109.77,67.8,62.33,29.21,0.54,25.98,-1.89,16.84,17.09
Beijing,China,2023-01-06,27.89,147.57,49.51,8.68,8.09,16.75,0.91,38.38,0.93
Beijing,China,2023-02-08,97.3,100.47,12.42,9.53,5.08,42.64,23.08,88.76,13.23
Beijing,China,2023-10-16,63.61,55.9,12.81,28.73,0.42,20.05,12.78,19.05,10.63
Beijing,China,2023-10-03,146.87,102.79,32.95,35.83,2.87,65.81,38.42,28.21,17.87
Beijing,China,2023-03-27,9.06,112.69,65.98,37.74,5.52,149.69,23.07,10.41,18.6
Beijing,China,2023-06-05,110.93,56.34,23.52,6.19,9.87,81.92,-6.05,83.66,0.63
Beijing,China,2023-08-05,147.78,165.81,83.54,37.31,8.64,185.76,26.67,18.21,4.23
Beijing,China,2023-02-09,71.24,44.44,14.48,10.53,9.83,119.21,8.85,22.9,2.72
Beijing,China,2023-11-18,109.58,60.36,19.87,28.82,2.46,16.92,31.9,20.86,6.09
Beijing,China,2023-08-05,101.82,171.61,41.57,34.54,4.52,59.81,29.69,47.52,10.04
Beijing,China,2023-03-10,132.79,137.85,70.28,30.58,5.39,184.43,32.95,88.48,4.85
Beijing,China,2023-07-22,18.12,121.77,95.48,3.16,9.9,20.16,19.95,94.53,1.84
Beijing,China,2023-03-22,85.54,154.22,92.72,19.17,3.21,65.96,31.71,21.99,14.94
Beijing,China,2023-02-20,68.74,163.11,13.45,20.32,2.95,129.85,4.88,19.98,1.71
Beijing,China,2023-08-09,80.34,180.51,39.19,35.11,2.69,131.36,25.75,13.02,8.53
Beijing,China,2023-03-17,117.24,97.9,46.01,12.42,4.81,67.46,16.18,28.52,15.61
Beijing,China,2023-05-01,29.76,154.4,65.85,24.6,4.71,142.12,33.83,76.88,6.34
Beijing,China,2023-04-05,75.06,148.71,58.41,5.87,8.78,155.6,10.26,47.66,5.51
Beijing,China,2023-12-14,96.72,35.42,38.89,16.85,1.76,50.47,22.5,34.88,12.37
Beijing,China,2023-11-02,60.3,163.77,82.08,40.39,9.99,152.68,28.43,29.77,2.52
Beijing,China,2023-04-15,11.29,65.4,32.62,9.68,1.55,192.21,0.56,10.83,7.9
Beijing,China,2023-04-03,105.58,148.88,95.05,39.39,2.38,170.41,-5.82,29.38,13.34
Beijing,China,2023-08-06,144.25,198.47,37.02,27.8,8.05,188.46,-7.3,88.27,9.51
Beijing,China,2023-12-28,134.09,50.41,54.08,8.91,8.26,78.3,-9.12,24.28,12.91
Beijing,China,2023-08-24,44.17,88.96,80.35,16.65,6.4,54.96,8.94,21.03,16.69
Beijing,China,2023-12-28,60.66,64.08,19.03,21.94,1.45,11.93,1.88,38.8,16.17
Beijing,China,2023-12-04,81.2,138.77,6.22,38.67,2.48,17.66,-7.39,73.92,18.47
Beijing,China,2023-11-24,130.17,55.37,27.16,8.07,7.45,182.29,24.4,50.41,19.05
Beijing,China,2023-04-05,91.61,76.27,28.08,32.49,9.48,199.79,11.83,74.84,16.73
Beijing,China,2023-12-10,101.52,43.88,23.47,37.77,1.35,60.84,18.6,99.74,3.67
Beijing,China,2023-05-06,43.9,113.85,21.76,16.64,4.54,155.58,28.61,44.31,9.2
Beijing,China,2023-06-16,30.24,170.02,61.39,20.0,7.5,129.39,-7.11,39.82,14.44
Beijing,China,2023-03-16,44.23,140.25,31.07,23.83,6.2,181.75,7.28,46.71,6.16
Beijing,China,2023-11-26,18.56,118.68,35.05,21.78,1.45,122.05,15.59,16.84,16.3
Beijing,China,2023-02-11,143.67,42.07,56.74,37.9,5.86,89.17,16.88,31.54,9.05
Beijing,China,2023-07-20,12.57,125.42,57.63,21.65,8.41,15.93,-2.21,22.7,1.56
Beijing,China,2023-05-17,128.81,17.59,78.28,32.4,3.77,145.0,20.4,22.39,15.63
Beijing,China,2023-06-14,73.58,125.79,12.13,20.39,7.16,84.54,36.91,88.48,17.87
